time,subject,fuzzer,run,cov_type,cov
1615973206,lightftp,aflnet,2,b_abs,267
1615973253,lightftp,aflnet,2,l_per,51.8
1615973253,lightftp,aflnet,2,l_abs,584
1615973253,lightftp,aflnet,2,b_per,34.4
1615973253,lightftp,aflnet,2,b_abs,269
1615973263,lightftp,aflnet,2,l_per,51.8
1615973263,lightftp,aflnet,2,l_abs,584
1615973263,lightftp,aflnet,2,b_per,34.4
1615973263,lightftp,aflnet,2,b_abs,269
1615973283,lightftp,aflnet,2,l_per,51.8
1615973283,lightftp,aflnet,2,l_abs,584
1615973283,lightftp,aflnet,2,b_per,34.4
1615973283,lightftp,aflnet,2,b_abs,269
1615973362,lightftp,aflnet,2,l_per,52.6
1615973362,lightftp,aflnet,2,l_abs,593
1615973362,lightftp,aflnet,2,b_per,34.9
1615973362,lightftp,aflnet,2,b_abs,273
1615973382,lightftp,aflnet,2,l_per,52.8
1615973382,lightftp,aflnet,2,l_abs,596
1615973382,lightftp,aflnet,2,b_per,35.2
1615973382,lightftp,aflnet,2,b_abs,275
1615973421,lightftp,aflnet,2,l_per,52.9
1615973421,lightftp,aflnet,2,l_abs,597
1615973421,lightftp,aflnet,2,b_per,35.3
1615973421,lightftp,aflnet,2,b_abs,276
1615973460,lightftp,aflnet,2,l_per,52.9
1615973460,lightftp,aflnet,2,l_abs,597
1615973460,lightftp,aflnet,2,b_per,35.3
1615973460,lightftp,aflnet,2,b_abs,276
1615973527,lightftp,aflnet,2,l_per,53.6
1615973527,lightftp,aflnet,2,l_abs,605
1615973527,lightftp,aflnet,2,b_per,36.1
1615973527,lightftp,aflnet,2,b_abs,282
1615973568,lightftp,aflnet,2,l_per,53.6
1615973568,lightftp,aflnet,2,l_abs,605
1615973568,lightftp,aflnet,2,b_per,36.1
1615973568,lightftp,aflnet,2,b_abs,282
1615973688,lightftp,aflnet,2,l_per,53.6
1615973688,lightftp,aflnet,2,l_abs,605
1615973688,lightftp,aflnet,2,b_per,36.2
1615973688,lightftp,aflnet,2,b_abs,283
1615973777,lightftp,aflnet,2,l_per,53.6
1615973777,lightftp,aflnet,2,l_abs,605
1615973777,lightftp,aflnet,2,b_per,36.2
1615973777,lightftp,aflnet,2,b_abs,283
1615973907,lightftp,aflnet,2,l_per,54.5
1615973907,lightftp,aflnet,2,l_abs,615
1615973907,lightftp,aflnet,2,b_per,37.1
1615973907,lightftp,aflnet,2,b_abs,290
1615974000,lightftp,aflnet,2,l_per,54.6
1615974000,lightftp,aflnet,2,l_abs,616
1615974000,lightftp,aflnet,2,b_per,37.2
1615974000,lightftp,aflnet,2,b_abs,291
1615974070,lightftp,aflnet,2,l_per,54.7
1615974070,lightftp,aflnet,2,l_abs,617
1615974070,lightftp,aflnet,2,b_per,37.5
1615974070,lightftp,aflnet,2,b_abs,293
1615974140,lightftp,aflnet,2,l_per,55.0
1615974140,lightftp,aflnet,2,l_abs,620
1615974140,lightftp,aflnet,2,b_per,37.6
1615974140,lightftp,aflnet,2,b_abs,294
1615974246,lightftp,aflnet,2,l_per,55.0
1615974246,lightftp,aflnet,2,l_abs,620
1615974246,lightftp,aflnet,2,b_per,37.6
1615974246,lightftp,aflnet,2,b_abs,294
1615974282,lightftp,aflnet,2,l_per,55.2
1615974282,lightftp,aflnet,2,l_abs,623
1615974282,lightftp,aflnet,2,b_per,37.7
1615974282,lightftp,aflnet,2,b_abs,295
1615974343,lightftp,aflnet,2,l_per,55.3
1615974343,lightftp,aflnet,2,l_abs,624
1615974343,lightftp,aflnet,2,b_per,37.9
1615974343,lightftp,aflnet,2,b_abs,296
1615974382,lightftp,aflnet,2,l_per,55.4
1615974382,lightftp,aflnet,2,l_abs,625
1615974382,lightftp,aflnet,2,b_per,38.0
1615974382,lightftp,aflnet,2,b_abs,297
1615974428,lightftp,aflnet,2,l_per,55.7
1615974428,lightftp,aflnet,2,l_abs,628
1615974428,lightftp,aflnet,2,b_per,38.1
1615974428,lightftp,aflnet,2,b_abs,298
1615974504,lightftp,aflnet,2,l_per,55.7
1615974504,lightftp,aflnet,2,l_abs,628
1615974504,lightftp,aflnet,2,b_per,38.1
1615974504,lightftp,aflnet,2,b_abs,298
1615974568,lightftp,aflnet,2,l_per,55.9
1615974568,lightftp,aflnet,2,l_abs,631
1615974568,lightftp,aflnet,2,b_per,38.5
1615974568,lightftp,aflnet,2,b_abs,301
1615974604,lightftp,aflnet,2,l_per,55.9
1615974604,lightftp,aflnet,2,l_abs,631
1615974604,lightftp,aflnet,2,b_per,38.5
1615974604,lightftp,aflnet,2,b_abs,301
1615974658,lightftp,aflnet,2,l_per,56.2
1615974658,lightftp,aflnet,2,l_abs,634
1615974658,lightftp,aflnet,2,b_per,38.9
1615974658,lightftp,aflnet,2,b_abs,304
1615974687,lightftp,aflnet,2,l_per,56.4
1615974687,lightftp,aflnet,2,l_abs,636
1615974687,lightftp,aflnet,2,b_per,39.1
1615974687,lightftp,aflnet,2,b_abs,306
1615974876,lightftp,aflnet,2,l_per,56.4
1615974876,lightftp,aflnet,2,l_abs,636
1615974876,lightftp,aflnet,2,b_per,39.1
1615974876,lightftp,aflnet,2,b_abs,306
1615975047,lightftp,aflnet,2,l_per,56.6
1615975047,lightftp,aflnet,2,l_abs,638
1615975047,lightftp,aflnet,2,b_per,39.4
1615975047,lightftp,aflnet,2,b_abs,308
1615975214,lightftp,aflnet,2,l_per,57.0
1615975214,lightftp,aflnet,2,l_abs,643
1615975214,lightftp,aflnet,2,b_per,39.8
1615975214,lightftp,aflnet,2,b_abs,311
1615975380,lightftp,aflnet,2,l_per,57.0
1615975380,lightftp,aflnet,2,l_abs,643
1615975380,lightftp,aflnet,2,b_per,39.8
1615975380,lightftp,aflnet,2,b_abs,311
1615975705,lightftp,aflnet,2,l_per,57.2
1615975705,lightftp,aflnet,2,l_abs,645
1615975705,lightftp,aflnet,2,b_per,40.0
1615975705,lightftp,aflnet,2,b_abs,313
1615975974,lightftp,aflnet,2,l_per,57.4
1615975974,lightftp,aflnet,2,l_abs,647
1615975974,lightftp,aflnet,2,b_per,40.2
1615975974,lightftp,aflnet,2,b_abs,314
1615976175,lightftp,aflnet,2,l_per,57.4
1615976175,lightftp,aflnet,2,l_abs,647
1615976175,lightftp,aflnet,2,b_per,40.2
1615976175,lightftp,aflnet,2,b_abs,314
1615972661,lightftp,aflnet,3,l_per,37.1
1615972661,lightftp,aflnet,3,l_abs,418
1615972661,lightftp,aflnet,3,b_per,20.8
1615972661,lightftp,aflnet,3,b_abs,163
1615972662,lightftp,aflnet,3,l_per,38.9
1615972662,lightftp,aflnet,3,l_abs,439
1615972662,lightftp,aflnet,3,b_per,23.1
1615972662,lightftp,aflnet,3,b_abs,181
1615972668,lightftp,aflnet,3,l_per,39.5
1615972668,lightftp,aflnet,3,l_abs,446
1615972668,lightftp,aflnet,3,b_per,24.7
1615972668,lightftp,aflnet,3,b_abs,193
1615972675,lightftp,aflnet,3,l_per,39.5
1615972675,lightftp,aflnet,3,l_abs,446
1615972675,lightftp,aflnet,3,b_per,24.8
1615972675,lightftp,aflnet,3,b_abs,194
1615972680,lightftp,aflnet,3,l_per,40.6
1615972680,lightftp,aflnet,3,l_abs,458
1615972680,lightftp,aflnet,3,b_per,25.4
1615972680,lightftp,aflnet,3,b_abs,199
1615972701,lightftp,aflnet,3,l_per,41.4
1615972701,lightftp,aflnet,3,l_abs,467
1615972701,lightftp,aflnet,3,b_per,25.8
1615972701,lightftp,aflnet,3,b_abs,202
1615972711,lightftp,aflnet,3,l_per,42.1
1615972711,lightftp,aflnet,3,l_abs,475
1615972711,lightftp,aflnet,3,b_per,26.1
1615972711,lightftp,aflnet,3,b_abs,204
1615972743,lightftp,aflnet,3,l_per,42.2
1615972743,lightftp,aflnet,3,l_abs,476
1615972743,lightftp,aflnet,3,b_per,26.2
1615972743,lightftp,aflnet,3,b_abs,205
1615972767,lightftp,aflnet,3,l_per,42.7
1615972767,lightftp,aflnet,3,l_abs,482
1615972767,lightftp,aflnet,3,b_per,26.7
1615972767,lightftp,aflnet,3,b_abs,209
1615972779,lightftp,aflnet,3,l_per,43.0
1615972779,lightftp,aflnet,3,l_abs,485
1615972779,lightftp,aflnet,3,b_per,26.9
1615972779,lightftp,aflnet,3,b_abs,210
1615972790,lightftp,aflnet,3,l_per,43.3
1615972790,lightftp,aflnet,3,l_abs,488
1615972790,lightftp,aflnet,3,b_per,27.0
1615972790,lightftp,aflnet,3,b_abs,211
1615972824,lightftp,aflnet,3,l_per,43.5
1615972824,lightftp,aflnet,3,l_abs,491
1615972824,lightftp,aflnet,3,b_per,27.1
1615972824,lightftp,aflnet,3,b_abs,212
1615972845,lightftp,aflnet,3,l_per,44.2
1615972845,lightftp,aflnet,3,l_abs,499
1615972845,lightftp,aflnet,3,b_per,27.5
1615972845,lightftp,aflnet,3,b_abs,215
1615972860,lightftp,aflnet,3,l_per,44.2
1615972860,lightftp,aflnet,3,l_abs,499
1615972860,lightftp,aflnet,3,b_per,27.5
1615972860,lightftp,aflnet,3,b_abs,215
1615972909,lightftp,aflnet,3,l_per,44.5
1615972909,lightftp,aflnet,3,l_abs,502
1615972909,lightftp,aflnet,3,b_per,27.6
1615972909,lightftp,aflnet,3,b_abs,216
1615972928,lightftp,aflnet,3,l_per,44.8
1615972928,lightftp,aflnet,3,l_abs,505
1615972928,lightftp,aflnet,3,b_per,27.7
1615972928,lightftp,aflnet,3,b_abs,217
1615972986,lightftp,aflnet,3,l_per,45.3
1615972986,lightftp,aflnet,3,l_abs,511
1615972986,lightftp,aflnet,3,b_per,28.0
1615972986,lightftp,aflnet,3,b_abs,219
1615973039,lightftp,aflnet,3,l_per,46.0
1615973039,lightftp,aflnet,3,l_abs,519
1615973039,lightftp,aflnet,3,b_per,28.3
1615973039,lightftp,aflnet,3,b_abs,221
1615973058,lightftp,aflnet,3,l_per,46.3
1615973058,lightftp,aflnet,3,l_abs,522
1615973058,lightftp,aflnet,3,b_per,28.9
1615973058,lightftp,aflnet,3,b_abs,226
1615973075,lightftp,aflnet,3,l_per,46.3
1615973075,lightftp,aflnet,3,l_abs,522
1615973075,lightftp,aflnet,3,b_per,28.9
1615973075,lightftp,aflnet,3,b_abs,226
1615973094,lightftp,aflnet,3,l_per,46.4
1615973094,lightftp,aflnet,3,l_abs,523
1615973094,lightftp,aflnet,3,b_per,29.0
1615973094,lightftp,aflnet,3,b_abs,227
1615973118,lightftp,aflnet,3,l_per,47.2
